,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,70,FARTCOIN,0.0,-0.0354348,999.9645652,0.0,999.9645652,1.0,204.0,0.8685,204.0,0.8685,entry_initial_normal_long
1,511,FARTCOIN,2.85599999999998,-0.036006,1002.7845592,0.0,1002.7845592,1.0,-204.0,0.8825,0.0,0.8685,close_grid_long
2,540,FARTCOIN,0.0,-0.03562946,1002.74892974,0.0,1002.74892974,1.0,211.0,0.8443,211.0,0.8443,entry_initial_normal_long
3,801,FARTCOIN,2.8695999999999886,-0.03620338,1005.58232636,0.0,1005.58232636,1.0,-211.0,0.8579,0.0,0.8443,close_grid_long
4,1398,FARTCOIN,0.0,-0.03564162,1005.54668474,0.0,1005.54668474,1.0,189.0,0.9429,189.0,0.9429,entry_initial_normal_long
5,1456,FARTCOIN,2.8727999999999985,-0.03621618,1008.38326856,0.0,1008.38326856,1.0,-189.0,0.9581,0.0,0.9429,close_grid_long
6,1987,FARTCOIN,0.0,-0.03586492,1008.34740364,0.0,1008.34740364,1.0,182.0,0.9853,182.0,0.9853,entry_initial_normal_long
7,2117,FARTCOIN,2.875600000000027,-0.03644004000000001,1011.1865636000001,0.0,1011.1865636000001,1.0,-182.0,1.0011,0.0,0.9853,close_grid_long
8,2229,FARTCOIN,0.0,-0.036001439999999996,1011.1505621600002,0.0,1011.1505621600002,1.0,184.0,0.9783,184.0,0.9783,entry_initial_normal_long
9,2713,FARTCOIN,2.8888000000000087,-0.0365792,1014.0027829600002,0.0,1014.0027829600002,1.0,-184.0,0.994,0.0,0.9783,close_grid_long
10,4022,FARTCOIN,0.0,-0.03599544,1013.9667875200003,0.0,1013.9667875200003,1.0,139.0,1.2948,139.0,1.2948,entry_initial_normal_long
11,4030,FARTCOIN,2.891200000000021,-0.036573680000000004,1016.8214138400002,0.0,1016.8214138400002,1.0,-139.0,1.3156,0.0,1.2948,close_grid_long
12,4210,FARTCOIN,0.0,-0.03605292,1016.7853609200002,0.0,1016.7853609200002,1.0,137.0,1.3158,137.0,1.3158,entry_initial_normal_long
13,4294,FARTCOIN,2.8906999999999856,-0.03663106000000001,1019.6394298600002,0.0,1019.6394298600002,1.0,-137.0,1.3369,0.0,1.3158,close_grid_long
14,4388,FARTCOIN,0.0,-0.03612012,1019.6033097400002,0.0,1019.6033097400002,1.0,138.0,1.3087,138.0,1.3087,entry_initial_normal_long
15,4405,FARTCOIN,2.898000000000018,-0.036699720000000005,1022.4646100200002,0.0,1022.4646100200002,1.0,-138.0,1.3297,0.0,1.3087,close_grid_long
16,4424,FARTCOIN,0.0,-0.03632904,1022.4282809800002,0.0,1022.4282809800002,1.0,139.0,1.3068,139.0,1.3068,entry_initial_normal_long
17,4456,FARTCOIN,2.9190000000000182,-0.03691284,1025.3103681400003,0.0,1025.3103681400003,1.0,-139.0,1.3278,0.0,1.3068,close_grid_long
18,4735,FARTCOIN,0.0,-0.03635472,1025.2740134200003,0.0,1025.2740134200003,1.0,138.0,1.3172,138.0,1.3172,entry_initial_normal_long
19,4818,FARTCOIN,2.9118000000000164,-0.036937080000000004,1028.1488763400002,0.0,1028.1488763400002,1.0,-138.0,1.3383,0.0,1.3172,close_grid_long
20,5887,FARTCOIN,0.0,-0.036527920000000005,1028.1123484200002,0.0,1028.1123484200002,1.0,124.0,1.4729,124.0,1.4729,entry_initial_normal_long
21,5924,FARTCOIN,2.9263999999999806,-0.0371132,1031.0016352200003,0.0,1031.0016352200003,1.0,-124.0,1.4965,0.0,1.4729,close_grid_long
22,6049,FARTCOIN,0.0,-0.036672500000000004,1030.9649627200004,0.0,1030.9649627200004,1.0,125.0,1.4669,125.0,1.4669,entry_initial_normal_long
23,6067,FARTCOIN,2.937499999999982,-0.03726,1033.8652027200003,0.0,1033.8652027200003,1.0,-125.0,1.4904,0.0,1.4669,close_grid_long
24,6098,FARTCOIN,0.0,-0.0366125,1033.8285902200003,0.0,1033.8285902200003,1.0,125.0,1.4645,125.0,1.4645,entry_initial_normal_long
25,6586,FARTCOIN,2.925000000000011,-0.0371975,1036.7163927200002,0.0,1036.7163927200002,1.0,-125.0,1.4879,0.0,1.4645,close_grid_long
26,6667,FARTCOIN,0.0,-0.036945599999999995,1036.67944712,0.0,1036.67944712,1.0,129.0,1.432,129.0,1.432,entry_initial_normal_long
27,6678,FARTCOIN,2.954100000000018,-0.03753642000000001,1039.5960107,0.0,1039.5960107,1.0,-129.0,1.4549,0.0,1.432,close_grid_long
28,6698,FARTCOIN,0.0,-0.03690948,1039.55910122,0.0,1039.55910122,1.0,129.0,1.4306,129.0,1.4306,entry_initial_normal_long
29,6937,FARTCOIN,2.9540999999999897,-0.0375003,1042.47570092,0.0,1042.47570092,1.0,-129.0,1.4535,0.0,1.4306,close_grid_long
30,7264,FARTCOIN,0.0,-0.037158000000000004,1042.43854292,0.0,1042.43854292,1.0,132.0,1.4075,132.0,1.4075,entry_initial_normal_long
31,8212,FARTCOIN,0.0,-0.11195377999999999,1042.32658914,0.0,1042.32658914,1.0,439.0,1.2751,571.0,1.3057073555166374,entry_grid_normal_long
32,8493,FARTCOIN,11.472900000000088,-0.15140636000000002,1053.64808278,0.0,1053.64808278,1.0,-571.0,1.3258,0.0,1.3057073555166374,close_grid_long
33,8656,FARTCOIN,0.0,-0.037300080000000006,1053.6107827,0.0,1053.6107827,1.0,146.0,1.2774,146.0,1.2774,entry_initial_normal_long
34,8795,FARTCOIN,2.9929999999999946,-0.037898680000000004,1056.56588402,0.0,1056.56588402,1.0,-146.0,1.2979,0.0,1.2774,close_grid_long
35,9201,FARTCOIN,0.0,-0.03763008,1056.52825394,0.0,1056.52825394,1.0,144.0,1.3066,144.0,1.3066,entry_initial_normal_long
36,9533,FARTCOIN,3.0239999999999867,-0.03823488,1059.51401906,0.0,1059.51401906,1.0,-144.0,1.3276,0.0,1.3066,close_grid_long
37,9700,FARTCOIN,0.0,-0.03761252,1059.47640654,0.0,1059.47640654,1.0,146.0,1.2881,146.0,1.2881,entry_initial_normal_long
38,9944,FARTCOIN,0.0,-0.1131893,1059.36321724,0.0,1059.36321724,1.0,485.0,1.1669,631.0,1.1949431061806657,entry_grid_normal_long
39,10427,FARTCOIN,11.583199999999984,-0.15311846,1070.79329878,0.0,1070.79329878,1.0,-631.0,1.2133,0.0,1.1949431061806657,close_grid_long
40,10984,FARTCOIN,0.0,-0.037985099999999994,1070.75531368,0.0,1070.75531368,1.0,159.0,1.1945,159.0,1.1945,entry_initial_normal_long
41,11156,FARTCOIN,3.052800000000017,-0.03859566,1073.76951802,0.0,1073.76951802,1.0,-159.0,1.2137,0.0,1.1945,close_grid_long
42,11221,FARTCOIN,0.0,-0.03814734,1073.73137068,0.0,1073.73137068,1.0,161.0,1.1847,161.0,1.1847,entry_initial_normal_long
43,11449,FARTCOIN,0.0,-0.11483239999999999,1073.61653828,0.0,1073.61653828,1.0,535.0,1.0732,696.0,1.0989923850574712,entry_grid_normal_long
44,12275,FARTCOIN,0.0,-0.80999204,1072.80654624,0.0,1072.80654624,1.0,4147.0,0.9766,4843.0,0.9941893247986784,entry_grid_inflated_long
45,12312,FARTCOIN,163.7451000000007,-0.9957208000000001,1235.5559254400007,0.0,1235.5559254400007,1.0,-4843.0,1.028,0.0,0.9941893247986784,close_grid_long
46,12312,FARTCOIN,0.0,-0.9422648000000001,1234.6136606400007,0.0,1234.6136606400007,1.0,4583.0,1.028,4583.0,1.028,entry_trailing_cropped_long
47,12313,FARTCOIN,71.36139999999992,-0.91438908,1305.0606715600006,0.0,1305.0606715600006,1.0,-4378.0,1.0443,205.0,1.028,close_grid_long
48,12313,FARTCOIN,3.3824999999999914,-0.0428245,1308.4003470600005,0.0,1308.4003470600005,1.0,-205.0,1.0445,0.0,1.028,close_grid_long
49,12498,FARTCOIN,0.0,-0.04650282000000001,1308.3538442400006,0.0,1308.3538442400006,1.0,221.0,1.0521,221.0,1.0521,entry_initial_normal_long
50,12574,FARTCOIN,3.734899999999981,-0.0472498,1312.0414944400006,0.0,1312.0414944400006,1.0,-221.0,1.069,0.0,1.0521,close_grid_long
51,13031,FARTCOIN,0.0,-0.046680799999999995,1311.9948136400005,0.0,1311.9948136400005,1.0,215.0,1.0856,215.0,1.0856,entry_initial_normal_long
52,13045,FARTCOIN,3.7410000000000174,-0.047429,1315.6883846400005,0.0,1315.6883846400005,1.0,-215.0,1.103,0.0,1.0856,close_grid_long
53,13079,FARTCOIN,0.0,-0.04683744000000001,1315.6415472000006,0.0,1315.6415472000006,1.0,216.0,1.0842,216.0,1.0842,entry_initial_normal_long
54,13083,FARTCOIN,3.7583999999999698,-0.04758912,1319.3523580800006,0.0,1319.3523580800006,1.0,-216.0,1.1016,0.0,1.0842,close_grid_long
55,13087,FARTCOIN,0.0,-0.046828800000000004,1319.3055292800007,0.0,1319.3055292800007,1.0,216.0,1.084,216.0,1.084,entry_initial_normal_long
56,13194,FARTCOIN,0.0,-0.1410152,1319.1645140800006,0.0,1319.1645140800006,1.0,718.0,0.982,934.0,1.0055888650963598,entry_grid_normal_long
57,13315,FARTCOIN,0.0,-0.9952916799999999,1318.1692224000005,0.0,1318.1692224000005,1.0,5569.0,0.8936,6503.0,0.909684514839305,entry_grid_inflated_long
58,13334,FARTCOIN,-0.15291603875135285,-0.012705000000000001,1318.0036013612491,0.0,1318.0036013612491,1.0,-70.0,0.9075,6433.0,0.909684514839305,close_trailing_long
59,13339,FARTCOIN,0.009015485160694947,-0.00018374,1318.0124331064098,0.0,1318.0124331064098,1.0,-1.0,0.9187,6432.0,0.909684514839305,close_trailing_long
60,13339,FARTCOIN,26.44088082423466,-0.48560159999999997,1343.9677123306444,0.0,1343.9677123306444,1.0,-2640.0,0.9197,3792.0,0.909684514839305,close_grid_long
61,13339,FARTCOIN,31.456880824234695,-0.4866048,1374.937988354879,0.0,1374.937988354879,1.0,-2640.0,0.9216,1152.0,0.909684514839305,close_grid_long
62,13800,FARTCOIN,0.0,-1.02363334,1373.914355014879,0.0,1373.914355014879,1.0,6343.0,0.8069,7495.0,0.8226982336350739,entry_grid_inflated_long
63,13819,FARTCOIN,0.07304307555901535,-0.013342320000000001,1373.974055770438,0.0,1373.974055770438,1.0,-81.0,0.8236,7414.0,0.8226982336350739,close_trailing_long
64,13891,FARTCOIN,27.696675048470123,-0.50623348,1401.1644973389082,0.0,1401.1644973389082,1.0,-3043.0,0.8318,4371.0,0.8226982336350739,close_grid_long
65,13891,FARTCOIN,32.86977504847023,-0.5072681000000001,1433.5270042873783,0.0,1433.5270042873783,1.0,-3043.0,0.8335,1328.0,0.8226982336350739,close_grid_long
66,13891,FARTCOIN,16.735145732621937,-0.22185568000000003,1450.0402943400002,0.0,1450.0402943400002,1.0,-1328.0,0.8353,0.0,0.8226982336350739,close_grid_long
67,13892,FARTCOIN,0.0,-0.05144706,1449.98884728,0.0,1449.98884728,1.0,307.0,0.8379,307.0,0.8379,entry_initial_normal_long
68,13913,FARTCOIN,4.14450000000002,-0.05227596,1454.08107132,0.0,1454.08107132,1.0,-307.0,0.8514,0.0,0.8379,close_grid_long
69,13914,FARTCOIN,0.0,-0.051648040000000006,1454.0294232800002,0.0,1454.0294232800002,1.0,302.0,0.8551,302.0,0.8551,entry_initial_normal_long
70,13926,FARTCOIN,4.167600000000011,-0.052481560000000003,1458.1445417200002,0.0,1458.1445417200002,1.0,-302.0,0.8689,0.0,0.8551,close_grid_long
71,13927,FARTCOIN,0.0,-0.0517077,1458.0928340200003,0.0,1458.0928340200003,1.0,297.0,0.8705,297.0,0.8705,entry_initial_normal_long
72,14035,FARTCOIN,0.0,-0.15566964,1457.9371643800002,0.0,1457.9371643800002,1.0,987.0,0.7886,1284.0,0.8075441588785046,entry_grid_normal_long
73,14098,FARTCOIN,15.993300000000012,-0.21057599999999999,1473.7198883800002,0.0,1473.7198883800002,1.0,-1284.0,0.82,0.0,0.8075441588785046,close_grid_long
74,14099,FARTCOIN,0.0,-0.05234790000000001,1473.66754048,0.0,1473.66754048,1.0,319.0,0.8205,319.0,0.8205,entry_initial_normal_long
75,14269,FARTCOIN,4.210799999999996,-0.05319006000000001,1477.82515042,0.0,1477.82515042,1.0,-319.0,0.8337,0.0,0.8205,close_grid_long
76,15080,FARTCOIN,0.0,-0.05252234,1477.77262808,0.0,1477.77262808,1.0,299.0,0.8783,299.0,0.8783,entry_initial_normal_long
77,15135,FARTCOIN,4.2159,-0.05336552000000001,1481.93516256,0.0,1481.93516256,1.0,-299.0,0.8924,0.0,0.8783,close_grid_long
78,15194,FARTCOIN,0.0,-0.052596000000000004,1481.88256656,0.0,1481.88256656,1.0,300.0,0.8766,300.0,0.8766,entry_initial_normal_long
79,15493,FARTCOIN,4.23,-0.05344200000000001,1486.0591245599999,0.0,1486.0591245599999,1.0,-300.0,0.8907,0.0,0.8766,close_grid_long
80,15642,FARTCOIN,0.0,-0.052834080000000005,1486.00629048,0.0,1486.00629048,1.0,312.0,0.8467,312.0,0.8467,entry_initial_normal_long
81,15696,FARTCOIN,4.243199999999983,-0.053682719999999996,1490.19580776,0.0,1490.19580776,1.0,-312.0,0.8603,0.0,0.8467,close_grid_long
82,15727,FARTCOIN,0.0,-0.05301576,1490.1427919999999,0.0,1490.1427919999999,1.0,314.0,0.8442,314.0,0.8442,entry_initial_normal_long
83,15766,FARTCOIN,4.270400000000018,-0.05386984,1494.35932216,0.0,1494.35932216,1.0,-314.0,0.8578,0.0,0.8442,close_grid_long
84,15785,FARTCOIN,0.0,-0.053064900000000005,1494.30625726,0.0,1494.30625726,1.0,315.0,0.8423,315.0,0.8423,entry_initial_normal_long
85,16117,FARTCOIN,0.0,-0.1597722,1494.14648506,0.0,1494.14648506,1.0,1047.0,0.763,1362.0,0.7813403083700441,entry_grid_normal_long
86,16635,FARTCOIN,16.425299999999943,-0.21612216,1510.3556629,0.0,1510.3556629,1.0,-1362.0,0.7934,0.0,0.7813403083700441,close_grid_long
87,17790,FARTCOIN,0.0,-0.053593640000000005,1510.30206926,0.0,1510.30206926,1.0,334.0,0.8023,334.0,0.8023,entry_initial_normal_long
88,17841,FARTCOIN,4.308600000000007,-0.05445536000000001,1514.5562139,0.0,1514.5562139,1.0,-334.0,0.8152,0.0,0.8023,close_grid_long
89,17863,FARTCOIN,0.0,-0.05374656,1514.50246734,0.0,1514.50246734,1.0,336.0,0.7998,336.0,0.7998,entry_initial_normal_long
90,17936,FARTCOIN,4.334400000000008,-0.054613440000000006,1518.7822539000001,0.0,1518.7822539000001,1.0,-336.0,0.8127,0.0,0.7998,close_grid_long
91,18008,FARTCOIN,0.0,-0.05398914,1518.72826476,0.0,1518.72826476,1.0,339.0,0.7963,339.0,0.7963,entry_initial_normal_long
92,18202,FARTCOIN,4.3392000000000115,-0.05485698,1523.01260778,0.0,1523.01260778,1.0,-339.0,0.8091,0.0,0.7963,close_grid_long
93,18328,FARTCOIN,0.0,-0.05414598,1522.9584618000001,0.0,1522.9584618000001,1.0,343.0,0.7893,343.0,0.7893,entry_initial_normal_long
94,18754,FARTCOIN,4.356100000000016,-0.0550172,1527.2595446,0.0,1527.2595446,1.0,-343.0,0.802,0.0,0.7893,close_grid_long
95,18890,FARTCOIN,0.0,-0.054292679999999996,1527.2052519200001,0.0,1527.2052519200001,1.0,351.0,0.7734,351.0,0.7734,entry_initial_normal_long
96,19092,FARTCOIN,4.352400000000027,-0.05516316000000001,1531.5024887600002,0.0,1531.5024887600002,1.0,-351.0,0.7858,0.0,0.7734,close_grid_long
97,19201,FARTCOIN,0.0,-0.05443952,1531.4480492400003,0.0,1531.4480492400003,1.0,356.0,0.7646,356.0,0.7646,entry_initial_normal_long
98,19347,FARTCOIN,0.0,-0.16386915999999999,1531.2841800800002,0.0,1531.2841800800002,1.0,1183.0,0.6926,1539.0,0.7092549707602339,entry_grid_normal_long
99,19482,FARTCOIN,16.84439999999993,-0.22167756,1547.9069025200001,0.0,1547.9069025200001,1.0,-1539.0,0.7202,0.0,0.7092549707602339,close_grid_long
100,19483,FARTCOIN,0.0,-0.05499272,1547.8519098000002,0.0,1547.8519098000002,1.0,382.0,0.7198,382.0,0.7198,entry_initial_normal_long
101,19485,FARTCOIN,4.431200000000021,-0.05587896000000001,1552.2272308400002,0.0,1552.2272308400002,1.0,-382.0,0.7314,0.0,0.7198,close_grid_long
102,19486,FARTCOIN,0.0,-0.05515966,1552.17207118,0.0,1552.17207118,1.0,379.0,0.7277,379.0,0.7277,entry_initial_normal_long
103,19506,FARTCOIN,4.434299999999975,-0.05604652,1556.5503246600001,0.0,1556.5503246600001,1.0,-379.0,0.7394,0.0,0.7277,close_grid_long
104,19599,FARTCOIN,0.0,-0.05531126000000001,1556.4950134,0.0,1556.4950134,1.0,379.0,0.7297,379.0,0.7297,entry_initial_normal_long
105,19600,FARTCOIN,4.434299999999975,-0.05619812,1560.87311528,0.0,1560.87311528,1.0,-379.0,0.7414,0.0,0.7297,close_grid_long
106,20589,FARTCOIN,0.0,-0.05548500000000001,1560.81763028,0.0,1560.81763028,1.0,274.0,1.0125,274.0,1.0125,entry_initial_normal_long
107,20593,FARTCOIN,4.438799999999998,-0.056372759999999994,1565.20005752,0.0,1565.20005752,1.0,-274.0,1.0287,0.0,1.0125,close_grid_long
108,20633,FARTCOIN,0.0,-0.05566000000000001,1565.14439752,0.0,1565.14439752,1.0,275.0,1.012,275.0,1.012,entry_initial_normal_long
109,20654,FARTCOIN,4.454999999999998,-0.056551000000000004,1569.54284652,0.0,1569.54284652,1.0,-275.0,1.0282,0.0,1.012,close_grid_long
110,20666,FARTCOIN,0.0,-0.055774080000000004,1569.48707244,0.0,1569.48707244,1.0,276.0,1.0104,276.0,1.0104,entry_initial_normal_long
111,20670,FARTCOIN,4.471199999999998,-0.056668319999999994,1573.90160412,0.0,1573.90160412,1.0,-276.0,1.0266,0.0,1.0104,close_grid_long
112,21099,FARTCOIN,0.0,-0.055830199999999996,1573.84577392,0.0,1573.84577392,1.0,265.0,1.0534,265.0,1.0534,entry_initial_normal_long
113,21188,FARTCOIN,4.478500000000036,-0.0567259,1578.26754802,0.0,1578.26754802,1.0,-265.0,1.0703,0.0,1.0534,close_grid_long
114,21215,FARTCOIN,0.0,-0.05613527999999999,1578.21141274,0.0,1578.21141274,1.0,268.0,1.0473,268.0,1.0473,entry_initial_normal_long
115,21429,FARTCOIN,4.50240000000004,-0.057035760000000005,1582.6567769800001,0.0,1582.6567769800001,1.0,-268.0,1.0641,0.0,1.0473,close_grid_long
116,21555,FARTCOIN,0.0,-0.05612992000000001,1582.60064706,0.0,1582.60064706,1.0,272.0,1.0318,272.0,1.0318,entry_initial_normal_long
117,22410,FARTCOIN,4.487999999999989,-0.057027520000000005,1587.03161954,0.0,1587.03161954,1.0,-272.0,1.0483,0.0,1.0318,close_grid_long
118,23586,FARTCOIN,0.0,-0.05645952,1586.97516002,0.0,1586.97516002,1.0,234.0,1.2064,234.0,1.2064,entry_initial_normal_long
119,23596,FARTCOIN,4.516200000000023,-0.057362760000000006,1591.43399726,0.0,1591.43399726,1.0,-234.0,1.2257,0.0,1.2064,close_grid_long
120,23622,FARTCOIN,0.0,-0.05663970000000001,1591.37735756,0.0,1591.37735756,1.0,235.0,1.2051,235.0,1.2051,entry_initial_normal_long
121,23660,FARTCOIN,4.5354999999999706,-0.0575468,1595.85531076,0.0,1595.85531076,1.0,-235.0,1.2244,0.0,1.2051,close_grid_long
122,23694,FARTCOIN,0.0,-0.05678632,1595.7985244400002,0.0,1595.7985244400002,1.0,236.0,1.2031,236.0,1.2031,entry_initial_normal_long
123,23701,FARTCOIN,4.55479999999997,-0.057697280000000004,1600.29562716,0.0,1600.29562716,1.0,-236.0,1.2224,0.0,1.2031,close_grid_long
124,23786,FARTCOIN,0.0,-0.056876,1600.23875116,0.0,1600.23875116,1.0,236.0,1.205,236.0,1.205,entry_initial_normal_long
125,23823,FARTCOIN,4.55479999999997,-0.057786960000000005,1604.7357642,0.0,1604.7357642,1.0,-236.0,1.2243,0.0,1.205,close_grid_long
126,23825,FARTCOIN,0.0,-0.0570222,1604.678742,0.0,1604.678742,1.0,237.0,1.203,237.0,1.203,entry_initial_normal_long
127,23850,FARTCOIN,4.574099999999969,-0.05793702,1609.19490498,0.0,1609.19490498,1.0,-237.0,1.2223,0.0,1.203,close_grid_long
128,23855,FARTCOIN,0.0,-0.057177120000000005,1609.13772786,0.0,1609.13772786,1.0,238.0,1.2012,238.0,1.2012,entry_initial_normal_long
129,23861,FARTCOIN,4.59339999999997,-0.0580958,1613.67303206,0.0,1613.67303206,1.0,-238.0,1.2205,0.0,1.2012,close_grid_long
130,23990,FARTCOIN,0.0,-0.057249720000000004,1613.61578234,0.0,1613.61578234,1.0,237.0,1.2078,237.0,1.2078,entry_initial_normal_long
131,23999,FARTCOIN,4.59780000000002,-0.058169280000000004,1618.15541306,0.0,1618.15541306,1.0,-237.0,1.2272,0.0,1.2078,close_grid_long
132,24060,FARTCOIN,0.0,-0.057562680000000005,1618.09785038,0.0,1618.09785038,1.0,238.0,1.2093,238.0,1.2093,entry_initial_normal_long
133,24063,FARTCOIN,4.617199999999967,-0.058486119999999996,1622.6565642599999,0.0,1622.6565642599999,1.0,-238.0,1.2287,0.0,1.2093,close_grid_long
134,24069,FARTCOIN,0.0,-0.057548400000000006,1622.5990158599998,0.0,1622.5990158599998,1.0,238.0,1.209,238.0,1.209,entry_initial_normal_long
135,24094,FARTCOIN,4.617199999999967,-0.05847184,1627.1577440199997,0.0,1627.1577440199997,1.0,-238.0,1.2284,0.0,1.209,close_grid_long
136,25142,FARTCOIN,0.0,-0.05775088,1627.0999931399997,0.0,1627.0999931399997,1.0,209.0,1.3816,209.0,1.3816,entry_initial_normal_long
137,25275,FARTCOIN,4.639799999999999,-0.05867884,1631.6811142999998,0.0,1631.6811142999998,1.0,-209.0,1.4038,0.0,1.3816,close_grid_long
138,25344,FARTCOIN,0.0,-0.05796592,1631.6231483799997,0.0,1631.6231483799997,1.0,211.0,1.3736,211.0,1.3736,entry_initial_normal_long
139,25385,FARTCOIN,4.642000000000004,-0.05889431999999999,1636.2062540599998,0.0,1636.2062540599998,1.0,-211.0,1.3956,0.0,1.3736,close_grid_long
140,25677,FARTCOIN,0.0,-0.058056960000000005,1636.1481970999998,0.0,1636.1481970999998,1.0,208.0,1.3956,208.0,1.3956,entry_initial_normal_long
141,25737,FARTCOIN,4.659199999999995,-0.058988799999999994,1640.7484083,0.0,1640.7484083,1.0,-208.0,1.418,0.0,1.3956,close_grid_long
142,26067,FARTCOIN,0.0,-0.05833608,1640.69007222,0.0,1640.69007222,1.0,209.0,1.3956,209.0,1.3956,entry_initial_normal_long
143,26131,FARTCOIN,0.0,-0.1757377,1640.5143345200001,0.0,1640.5143345200001,1.0,695.0,1.2643,904.0,1.2946558628318583,entry_grid_normal_long
144,26174,FARTCOIN,0.0,-1.2373702400000002,1639.2769642800001,0.0,1639.2769642800001,1.0,5378.0,1.1504,6282.0,1.17115888252149,entry_grid_inflated_long
145,26179,FARTCOIN,0.0,-1.4398707000000002,1637.83709358,0.0,1637.83709358,1.0,6015.0,1.1969,12297.0,1.183749987801903,entry_trailing_cropped_long
146,26184,FARTCOIN,50.368218589899826,-0.37088064000000004,1687.8344315299,0.0,1687.8344315299,1.0,-1524.0,1.2168,10773.0,1.183749987801903,close_trailing_long
147,26190,FARTCOIN,86.27151915101199,-0.38895179999999996,1773.7169988809121,0.0,1773.7169988809121,1.0,-1570.0,1.2387,9203.0,1.183749987801903,close_trailing_long
148,26196,FARTCOIN,128.45252012685998,-0.416328,1901.753191007772,0.0,1901.753191007772,1.0,-1650.0,1.2616,7553.0,1.183749987801903,close_trailing_long
149,26200,FARTCOIN,714.1362421322258,-1.9309999800000002,2613.958433159998,0.0,2613.958433159998,1.0,-7553.0,1.2783,0.0,1.183749987801903,close_grid_long
150,26202,FARTCOIN,0.0,-0.09275448,2613.865678679998,0.0,2613.865678679998,1.0,364.0,1.2741,364.0,1.2741,entry_initial_normal_long
151,26262,FARTCOIN,7.42559999999999,-0.0942396,2621.197039079998,0.0,2621.197039079998,1.0,-364.0,1.2945,0.0,1.2741,close_grid_long
152,26263,FARTCOIN,0.0,-0.093096,2621.103943079998,0.0,2621.103943079998,1.0,360.0,1.293,360.0,1.293,entry_initial_normal_long
153,26285,FARTCOIN,7.452000000000059,-0.0945864,2628.461356679998,0.0,2628.461356679998,1.0,-360.0,1.3137,0.0,1.293,close_grid_long
154,26286,FARTCOIN,0.0,-0.09340016000000001,2628.367956519998,0.0,2628.367956519998,1.0,356.0,1.3118,356.0,1.3118,entry_initial_normal_long
155,26304,FARTCOIN,7.475999999999967,-0.09489536,2635.7490611599983,0.0,2635.7490611599983,1.0,-356.0,1.3328,0.0,1.3118,close_grid_long
156,26934,FARTCOIN,0.0,-0.09367722,2635.6553839399985,0.0,2635.6553839399985,1.0,301.0,1.5561,301.0,1.5561,entry_initial_normal_long
157,26942,FARTCOIN,7.494899999999976,-0.0951762,2643.0551077399987,0.0,2643.0551077399987,1.0,-301.0,1.581,0.0,1.5561,close_grid_long
158,26949,FARTCOIN,0.0,-0.09394616,2642.9611615799986,0.0,2642.9611615799986,1.0,302.0,1.5554,302.0,1.5554,entry_initial_normal_long
159,26951,FARTCOIN,7.519800000000044,-0.09545012000000001,2650.3855114599987,0.0,2650.3855114599987,1.0,-302.0,1.5803,0.0,1.5554,close_grid_long
160,27193,FARTCOIN,0.0,-0.09403884,2650.291472619999,0.0,2650.291472619999,1.0,294.0,1.5993,294.0,1.5993,entry_initial_normal_long
161,27198,FARTCOIN,7.52640000000002,-0.09554412,2657.7223284999986,0.0,2657.7223284999986,1.0,-294.0,1.6249,0.0,1.5993,close_grid_long
162,27200,FARTCOIN,0.0,-0.0943292,2657.6279992999985,0.0,2657.6279992999985,1.0,295.0,1.5988,295.0,1.5988,entry_initial_normal_long
163,27206,FARTCOIN,7.55200000000002,-0.09583960000000001,2665.0841596999985,0.0,2665.0841596999985,1.0,-295.0,1.6244,0.0,1.5988,close_grid_long
164,27212,FARTCOIN,0.0,-0.09461936000000001,2664.9895403399987,0.0,2664.9895403399987,1.0,296.0,1.5983,296.0,1.5983,entry_initial_normal_long
165,27221,FARTCOIN,7.577599999999954,-0.09613488,2672.4710054599987,0.0,2672.4710054599987,1.0,-296.0,1.6239,0.0,1.5983,close_grid_long
166,27226,FARTCOIN,0.0,-0.09489744,2672.376108019999,0.0,2672.376108019999,1.0,297.0,1.5976,297.0,1.5976,entry_initial_normal_long
167,27236,FARTCOIN,7.60320000000002,-0.09641808,2679.8828899399987,0.0,2679.8828899399987,1.0,-297.0,1.6232,0.0,1.5976,close_grid_long
168,27599,FARTCOIN,0.0,-0.095304,2679.7875859399987,0.0,2679.7875859399987,1.0,285.0,1.672,285.0,1.672,entry_initial_normal_long
169,27631,FARTCOIN,7.638000000000044,-0.0968316,2687.328754339999,0.0,2687.328754339999,1.0,-285.0,1.6988,0.0,1.672,close_grid_long
170,27644,FARTCOIN,0.0,-0.09542104,2687.233333299999,0.0,2687.233333299999,1.0,286.0,1.6682,286.0,1.6682,entry_initial_normal_long
171,27685,FARTCOIN,7.6362000000000485,-0.09694828,2694.772585019999,0.0,2694.772585019999,1.0,-286.0,1.6949,0.0,1.6682,close_grid_long
172,27691,FARTCOIN,0.0,-0.09565632,2694.676928699999,0.0,2694.676928699999,1.0,288.0,1.6607,288.0,1.6607,entry_initial_normal_long
173,27711,FARTCOIN,7.660799999999988,-0.09718848000000001,2702.240540219999,0.0,2702.240540219999,1.0,-288.0,1.6873,0.0,1.6607,close_grid_long
174,28648,FARTCOIN,0.0,-0.09617080000000001,2702.144369419999,0.0,2702.144369419999,1.0,220.0,2.1857,220.0,2.1857,entry_initial_normal_long
