,balance,equity,balance_btc,equity_btc
0,1003.090233148,1000.0,0.0,0.0
60,1005.624958904,1003.090233148,0.0,0.0
120,1006.82752368,1006.82752368,0.0,0.0
180,1006.82752368,1006.82752368,0.0,0.0
240,1006.646092458,1006.82752368,0.0,0.0
300,1006.646092458,1010.747402458,0.0,4.101309999999974
360,1006.646092458,998.481802458,0.0,-8.164290000000037
420,1006.646092458,996.2203324579999,0.0,-10.425760000000077
480,1006.646092458,998.405142458,0.0,-8.240949999999994
540,1006.646092458,992.387332458,0.0,-14.258759999999995
600,1006.646092458,999.8616824579999,0.0,-6.784410000000121
660,1013.072729358,1012.472252458,0.0,5.826159999999903
720,1013.072729358,1013.072729358,0.0,0.0
780,1013.072729358,1013.072729358,0.0,0.0
840,1013.072729358,1013.072729358,0.0,0.0
900,1013.072729358,1013.072729358,0.0,0.0
960,1022.8733397940001,1013.072729358,0.0,0.0
1020,1022.8733397940001,1022.8733397940001,0.0,0.0
1080,1022.8733397940001,1022.8733397940001,0.0,0.0
1140,1022.8733397940001,1022.8733397940001,0.0,0.0
1200,1022.8733397940001,1022.8733397940001,0.0,0.0
1260,1022.8733397940001,1022.8733397940001,0.0,0.0
1320,1022.8733397940001,1022.8733397940001,0.0,0.0
1380,1022.8733397940001,1022.8733397940001,0.0,0.0
1440,1022.8733397940001,1022.8733397940001,0.0,0.0
1500,1022.8733397940001,1022.8733397940001,0.0,0.0
1560,1022.8733397940001,1022.8733397940001,0.0,0.0
1620,1022.8733397940001,1022.8733397940001,0.0,0.0
1680,1022.8733397940001,1022.8733397940001,0.0,0.0
1740,1022.8733397940001,1022.8733397940001,0.0,0.0
1800,1022.8733397940001,1022.8733397940001,0.0,0.0
1860,1022.8733397940001,1022.8733397940001,0.0,0.0
1920,1022.8733397940001,1022.8733397940001,0.0,0.0
1980,1022.8733397940001,1022.8733397940001,0.0,0.0
2040,1022.8733397940001,1022.8733397940001,0.0,0.0
2100,1022.8733397940001,1022.8733397940001,0.0,0.0
2160,1022.8733397940001,1022.8733397940001,0.0,0.0
2220,1022.8733397940001,1022.8733397940001,0.0,0.0
2280,1022.8733397940001,1022.8733397940001,0.0,0.0
2340,1022.8733397940001,1022.8733397940001,0.0,0.0
2400,1022.8733397940001,1022.8733397940001,0.0,0.0
2460,1022.8733397940001,1022.8733397940001,0.0,0.0
2520,1022.8733397940001,1022.8733397940001,0.0,0.0
2580,1022.8733397940001,1022.8733397940001,0.0,0.0
2640,1022.8733397940001,1022.8733397940001,0.0,0.0
2700,1022.8733397940001,1022.8733397940001,0.0,0.0
2760,1022.8733397940001,1022.8733397940001,0.0,0.0
2820,1022.8733397940001,1022.8733397940001,0.0,0.0
2880,1022.8733397940001,1022.8733397940001,0.0,0.0
2940,1022.8733397940001,1022.8733397940001,0.0,0.0
3000,1022.8733397940001,1022.8733397940001,0.0,0.0
