,balance,equity,balance_btc,equity_btc
0,999.9787762,1000.0,0.0,0.0
60,999.9787762,1000.0,0.0,0.0
120,999.9787762,1000.0,0.0,0.0
180,999.9787762,1000.0,0.0,0.0
240,999.9787762,1000.0,0.0,0.0
300,999.9787762,1000.0,0.0,0.0
360,999.9787762,1000.0,0.0,0.0
420,999.9787762,1000.0,0.0,0.0
480,999.9787762,1000.0,0.0,0.0
540,999.9787762,1000.0,0.0,0.0
600,999.9787762,1000.0,0.0,0.0
660,999.9787762,1000.0,0.0,0.0
720,999.9787762,1000.0,0.0,0.0
780,999.9787762,1000.0,0.0,0.0
840,999.9787762,1000.0,0.0,0.0
900,999.9787762,1000.0,0.0,0.0
960,999.9787762,1000.0,0.0,0.0
1020,999.9787762,1000.0,0.0,0.0
1080,999.9787762,1000.0,0.0,0.0
1140,999.9787762,1000.0,0.0,0.0
1200,999.9787762,1000.0,0.0,0.0
1260,999.9787762,1000.0,0.0,0.0
1320,999.9787762,1000.0,0.0,0.0
1380,999.9787762,1000.0,0.0,0.0
1440,999.9787762,1000.0,0.0,0.0
1500,999.9787762,1000.0,0.0,0.0
1560,999.9787762,1000.0,0.0,0.0
1620,999.9787762,1000.0,0.0,0.0
1680,999.9787762,1000.0,0.0,0.0
1740,999.9787762,1000.0,0.0,0.0
1800,999.9787762,1000.0,0.0,0.0
1860,999.9787762,1000.0,0.0,0.0
1920,999.9787762,1000.0,0.0,0.0
1980,999.9787762,1000.0,0.0,0.0
2040,999.9787762,1000.0,0.0,0.0
2100,999.9787762,1000.0,0.0,0.0
2160,999.9787762,1000.0,0.0,0.0
2220,999.9787762,1000.0,0.0,0.0
2280,999.9787762,1000.0,0.0,0.0
2340,999.9787762,1000.0,0.0,0.0
2400,999.9787762,1000.0,0.0,0.0
2460,999.9787762,999.2806762,0.0,-0.6980999999999994
2520,999.9787762,998.1393261999999,0.0,-1.8394500000000016
2580,999.9787762,998.4394762,0.0,-1.5393000000000119
2640,999.9787762,998.5404262,0.0,-1.438350000000005
2700,999.9787762,998.0923762,0.0,-1.8864000000000032
2760,999.9787762,998.4208762,0.0,-1.5579000000000087
2820,999.9787762,998.3949262,0.0,-1.5838500000000022
2880,999.9787762,998.2671262,0.0,-1.7116500000000088
2940,999.9581023,997.9081762,0.0,-2.0705999999999993
3000,999.9581023,996.8261022999999,0.0,-3.132000000000016
3060,999.9581023,998.8565022999999,0.0,-1.1016000000000348
3120,1000.4665944999999,998.8775023,0.0,-1.080600000000013
3180,1000.4665944999999,1000.4665944999999,0.0,0.0
3240,1000.4665944999999,1000.4665944999999,0.0,0.0
3300,1000.4665944999999,1000.4665944999999,0.0,0.0
3360,1000.4665944999999,1000.4665944999999,0.0,0.0
3420,1000.4665944999999,1000.4665944999999,0.0,0.0
3480,1000.4665944999999,1000.4665944999999,0.0,0.0
3540,1000.4665944999999,1000.4665944999999,0.0,0.0
3600,1000.4665944999999,1000.4665944999999,0.0,0.0
3660,1000.4665944999999,1000.4665944999999,0.0,0.0
3720,1000.9200220199999,1000.4665944999999,0.0,0.0
3780,1000.9200220199999,1000.9200220199999,0.0,0.0
3840,1000.9200220199999,1000.9200220199999,0.0,0.0
3900,1000.9200220199999,1000.9200220199999,0.0,0.0
3960,1000.9200220199999,1000.9200220199999,0.0,0.0
4020,1001.1479739399999,1000.9200220199999,0.0,0.0
4080,1001.1479739399999,1001.1479739399999,0.0,0.0
4140,1001.1276142999999,1001.1479739399999,0.0,0.0
4200,1001.3746011799999,1001.3846542999999,0.0,0.25703999999999544
