,balance,equity,balance_btc,equity_btc
0,1001.46951992,1000.0,0.0,0.0
60,1001.46951992,1000.0,0.0,0.0
120,1001.46951992,1000.0,0.0,0.0
180,1001.46951992,1000.0,0.0,0.0
240,1001.46951992,1000.0,0.0,0.0
300,1001.46951992,1000.0,0.0,0.0
360,1001.46951992,1000.0,0.0,0.0
420,1001.46951992,1000.0,0.0,0.0
480,1001.46951992,1001.46951992,0.0,0.0
540,1001.46951992,1001.46951992,0.0,0.0
600,1001.46951992,1001.46951992,0.0,0.0
660,1001.46951992,1001.46951992,0.0,0.0
720,1001.46951992,1001.46951992,0.0,0.0
780,1001.46951992,1001.46951992,0.0,0.0
840,1001.46951992,1001.46951992,0.0,0.0
900,1001.46951992,1001.46951992,0.0,0.0
960,1001.46951992,1001.46951992,0.0,0.0
1020,1001.46951992,1001.46951992,0.0,0.0
1080,1001.4453927120001,1001.46951992,0.0,0.0
1140,1003.1203856120001,1002.2695027120001,0.0,0.8241100000000093
1200,1003.1203856120001,1003.1203856120001,0.0,0.0
1260,1003.1203856120001,1003.1203856120001,0.0,0.0
1320,1003.1203856120001,1003.1203856120001,0.0,0.0
1380,1003.1203856120001,1003.1203856120001,0.0,0.0
1440,1003.1203856120001,1003.1203856120001,0.0,0.0
1500,1003.1203856120001,1003.1203856120001,0.0,0.0
1560,1003.1203856120001,1003.1203856120001,0.0,0.0
1620,1003.1203856120001,1003.1203856120001,0.0,0.0
1680,1003.096200528,1003.1203856120001,0.0,0.0
1740,1003.096200528,1003.473780528,0.0,0.3775800000000012
1800,1004.5950507760001,1003.9945805279996,0.0,0.8983799999995734
1860,1006.0697141140001,1004.5950507760001,0.0,0.0
1920,1007.5482820660002,1006.0697141140001,0.0,0.0
1980,1007.5482820660002,1007.5482820660002,0.0,0.0
2040,1007.5482820660002,1007.5482820660002,0.0,0.0
2100,1007.5482820660002,1007.5482820660002,0.0,0.0
2160,1007.5482820660002,1007.5482820660002,0.0,0.0
2220,1007.5482820660002,1007.5482820660002,0.0,0.0
2280,1007.5482820660002,1007.5482820660002,0.0,0.0
2340,1007.5482820660002,1007.5482820660002,0.0,0.0
2400,1007.5482820660002,1007.5482820660002,0.0,0.0
2460,1007.5482820660002,1007.5482820660002,0.0,0.0
2520,1007.5482820660002,1007.5482820660002,0.0,0.0
2580,1007.5482820660002,1007.5482820660002,0.0,0.0
2640,1007.5482820660002,1007.5482820660002,0.0,0.0
2700,1007.5482820660002,1007.5482820660002,0.0,0.0
2760,1007.5482820660002,1007.5482820660002,0.0,0.0
2820,1007.5482820660002,1007.5482820660002,0.0,0.0
2880,1007.5482820660002,1007.5482820660002,0.0,0.0
2940,1007.5482820660002,1007.5482820660002,0.0,0.0
3000,1007.5482820660002,1007.5482820660002,0.0,0.0
3060,1007.5482820660002,1007.5482820660002,0.0,0.0
3120,1007.5482820660002,1007.5482820660002,0.0,0.0
3180,1007.5482820660002,1007.5482820660002,0.0,0.0
3240,1007.5482820660002,1007.5482820660002,0.0,0.0
3300,1007.5482820660002,1007.5482820660002,0.0,0.0
3360,1007.5482820660002,1007.5482820660002,0.0,0.0
3420,1007.5482820660002,1007.5482820660002,0.0,0.0
