,balance,equity,balance_btc,equity_btc
0,999.94640884,1000.0,0.0,0.0
60,999.94640884,1000.0,0.0,0.0
120,999.94640884,1000.0,0.0,0.0
180,999.94640884,1000.0,0.0,0.0
240,999.94640884,1000.0,0.0,0.0
300,999.94640884,1000.0,0.0,0.0
360,999.94640884,1000.0,0.0,0.0
420,999.94640884,1000.0,0.0,0.0
480,999.94640884,1000.0,0.0,0.0
540,999.94640884,1000.0,0.0,0.0
600,999.94640884,1000.0,0.0,0.0
660,999.94640884,1000.0,0.0,0.0
720,999.94640884,1000.0,0.0,0.0
780,999.94640884,1000.0,0.0,0.0
840,999.94640884,1000.0,0.0,0.0
900,999.94640884,1000.0,0.0,0.0
960,999.94640884,1000.0,0.0,0.0
1020,999.94640884,1000.0,0.0,0.0
1080,999.94640884,1000.0,0.0,0.0
1140,999.94640884,1000.0,0.0,0.0
1200,999.94640884,1000.0,0.0,0.0
1260,999.94640884,1000.0,0.0,0.0
1320,999.94640884,1000.0,0.0,0.0
1380,999.94640884,1000.0,0.0,0.0
1440,999.94640884,1000.0,0.0,0.0
1500,999.94640884,1000.0,0.0,0.0
1560,999.94640884,1000.0,0.0,0.0
1620,999.94640884,1000.0,0.0,0.0
1680,999.94640884,1000.0,0.0,0.0
1740,999.94640884,1000.0,0.0,0.0
1800,999.94640884,1000.0,0.0,0.0
1860,999.94640884,1000.0,0.0,0.0
1920,999.94640884,1000.0,0.0,0.0
1980,999.94640884,1000.0,0.0,0.0
2040,999.94640884,1000.0,0.0,0.0
2100,999.94640884,1000.0,0.0,0.0
2160,999.94640884,1000.0,0.0,0.0
2220,999.94640884,1000.0,0.0,0.0
2280,999.94640884,1000.0,0.0,0.0
2340,999.94640884,1000.0,0.0,0.0
2400,999.94640884,1000.0,0.0,0.0
2460,999.94640884,1000.0,0.0,0.0
2520,999.94640884,1000.0,0.0,0.0
2580,999.94640884,1000.0,0.0,0.0
2640,999.94640884,1000.0,0.0,0.0
2700,999.94640884,1000.0,0.0,0.0
2760,999.94640884,1000.0,0.0,0.0
2820,999.94640884,1000.0,0.0,0.0
2880,999.94640884,1000.0,0.0,0.0
2940,999.94640884,1000.0,0.0,0.0
3000,999.94640884,1000.0,0.0,0.0
3060,999.94640884,1000.0,0.0,0.0
3120,999.94640884,1000.0,0.0,0.0
3180,999.94640884,1000.0,0.0,0.0
3240,999.94640884,1000.0,0.0,0.0
3300,999.94640884,1000.0,0.0,0.0
3360,999.94640884,1000.0,0.0,0.0
3420,999.94640884,1000.0,0.0,0.0
3480,999.94640884,1000.0,0.0,0.0
3540,999.94640884,1000.0,0.0,0.0
3600,999.94640884,1000.0,0.0,0.0
3660,999.94640884,1000.0,0.0,0.0
3720,999.94640884,994.07060884,0.0,-5.875799999999985
3780,999.94640884,995.75060884,0.0,-4.195799999999985
3840,999.94640884,994.8266088400001,0.0,-5.1197999999999855
3900,999.94640884,990.35360884,0.0,-9.592799999999984
3960,999.94640884,989.9756088400001,0.0,-9.970799999999985
4020,999.94640884,991.19360884,0.0,-8.752799999999985
4080,999.94640884,989.76560884,0.0,-10.180799999999985
4140,999.94640884,991.19360884,0.0,-8.752799999999985
4200,999.94640884,993.73460884,0.0,-6.211799999999985
4260,999.94640884,994.91060884,0.0,-5.035799999999985
4320,999.94640884,993.73460884,0.0,-6.211799999999985
4380,999.94640884,993.75560884,0.0,-6.190799999999985
4440,999.94640884,994.25960884,0.0,-5.686799999999985
4500,999.94640884,992.70560884,0.0,-7.240799999999985
4560,999.94640884,993.65060884,0.0,-6.295799999999985
4620,999.94640884,993.33560884,0.0,-6.610799999999985
4680,999.94640884,993.3986088400001,0.0,-6.547799999999985
4740,999.94640884,988.19060884,0.0,-11.755799999999985
4800,999.94640884,992.41160884,0.0,-7.5347999999999855
4860,999.94640884,991.5716088400001,0.0,-8.374799999999984
4920,999.94640884,995.75060884,0.0,-4.195799999999985
4980,999.94640884,992.91560884,0.0,-7.030799999999985
5040,999.94640884,992.18060884,0.0,-7.765799999999985
5100,999.94640884,992.4326088400001,0.0,-7.513799999999986
5160,999.94640884,993.10460884,0.0,-6.841799999999985
5220,999.94640884,991.94960884,0.0,-7.996799999999985
5280,999.94640884,992.68460884,0.0,-7.261799999999985
5340,999.94640884,991.7396088400001,0.0,-8.206799999999985
5400,999.94640884,992.24360884,0.0,-7.702799999999985
