,balance,equity,balance_btc,equity_btc
0,999.966742952,1000.0,0.0,0.0
60,999.966742952,1000.0,0.0,0.0
120,999.966742952,1000.0,0.0,0.0
180,999.966742952,1000.0,0.0,0.0
240,999.966742952,1000.0,0.0,0.0
300,999.966742952,1000.0,0.0,0.0
360,999.966742952,1000.0,0.0,0.0
420,999.966742952,1000.0,0.0,0.0
480,999.966742952,1000.0,0.0,0.0
540,999.966742952,1000.0,0.0,0.0
600,999.966742952,1000.0,0.0,0.0
660,999.966742952,1000.0,0.0,0.0
720,999.966742952,1000.0,0.0,0.0
780,999.966742952,1000.0,0.0,0.0
840,999.966742952,1000.0,0.0,0.0
900,999.966742952,1000.0,0.0,0.0
960,999.966742952,1000.0,0.0,0.0
1020,999.966742952,1000.0,0.0,0.0
1080,999.933485904,1000.356854952,0.0,0.3901120000000095
1140,999.933485904,999.933485904,0.0,0.0
1200,999.933485904,999.933485904,0.0,0.0
1260,999.933485904,999.933485904,0.0,0.0
1320,999.933485904,999.933485904,0.0,0.0
1380,999.933485904,999.933485904,0.0,0.0
1440,999.933485904,999.933485904,0.0,0.0
1500,999.933485904,999.933485904,0.0,0.0
1560,999.933485904,999.933485904,0.0,0.0
1620,999.933485904,999.933485904,0.0,0.0
1680,999.933485904,999.933485904,0.0,0.0
1740,999.933485904,999.933485904,0.0,0.0
1800,999.933485904,999.933485904,0.0,0.0
1860,999.933485904,999.933485904,0.0,0.0
1920,999.933485904,999.933485904,0.0,0.0
1980,999.933485904,999.933485904,0.0,0.0
2040,999.933485904,999.933485904,0.0,0.0
2100,999.933485904,999.933485904,0.0,0.0
2160,999.933485904,999.933485904,0.0,0.0
2220,999.933485904,999.933485904,0.0,0.0
2280,999.933485904,999.933485904,0.0,0.0
2340,999.933485904,999.933485904,0.0,0.0
2400,1001.5196578776,999.933485904,0.0,0.0
2460,1001.5196578776,1001.5196578776,0.0,0.0
2520,1001.5196578776,1001.5196578776,0.0,0.0
2580,1001.5196578776,1001.5196578776,0.0,0.0
2640,1001.5196578776,1001.5196578776,0.0,0.0
2700,1001.5196578776,1001.5196578776,0.0,0.0
2760,1001.5196578776,1001.5196578776,0.0,0.0
2820,1001.5196578776,1001.5196578776,0.0,0.0
2880,1001.5196578776,1001.5196578776,0.0,0.0
2940,1001.5196578776,1001.5196578776,0.0,0.0
3000,1001.5196578776,1001.5196578776,0.0,0.0
3060,1001.5196578776,1001.5196578776,0.0,0.0
3120,1001.5196578776,1001.5196578776,0.0,0.0
3180,1001.5196578776,1001.5196578776,0.0,0.0
3240,1001.5196578776,1001.5196578776,0.0,0.0
3300,1001.5196578776,1001.5196578776,0.0,0.0
3360,1001.5196578776,1001.5196578776,0.0,0.0
3420,1001.5196578776,1001.5196578776,0.0,0.0
3480,1001.5196578776,1001.5196578776,0.0,0.0
3540,1001.5196578776,1001.5196578776,0.0,0.0
3600,1001.5196578776,1001.5196578776,0.0,0.0
3660,1001.5196578776,1001.5196578776,0.0,0.0
3720,1001.5196578776,1001.5196578776,0.0,0.0
3780,1001.5196578776,1001.5196578776,0.0,0.0
3840,1001.5196578776,1001.5196578776,0.0,0.0
3900,1001.5196578776,1001.5196578776,0.0,0.0
3960,1001.5196578776,1001.5196578776,0.0,0.0
4020,1001.5196578776,1001.5196578776,0.0,0.0
4080,1001.5196578776,1001.5196578776,0.0,0.0
4140,1001.5196578776,1001.5196578776,0.0,0.0
4200,1001.5196578776,1001.5196578776,0.0,0.0
4260,1001.5196578776,1001.5196578776,0.0,0.0
4320,1001.5196578776,1001.5196578776,0.0,0.0
4380,1001.5196578776,1001.5196578776,0.0,0.0
4440,1001.5196578776,1001.5196578776,0.0,0.0
4500,1001.5196578776,1001.5196578776,0.0,0.0
4560,1001.5196578776,1001.5196578776,0.0,0.0
4620,1001.5196578776,1001.5196578776,0.0,0.0
4680,1001.5196578776,1001.5196578776,0.0,0.0
4740,1001.5196578776,1001.5196578776,0.0,0.0
4800,1001.5196578776,1001.5196578776,0.0,0.0
4860,1001.5196578776,1001.5196578776,0.0,0.0
4920,1002.7225768879999,1001.5196578776,0.0,0.0
4980,1002.7225768879999,1002.7225768879999,0.0,0.0
5040,1002.7225768879999,1002.7225768879999,0.0,0.0
5100,1002.7225768879999,1002.7225768879999,0.0,0.0
5160,1002.7225768879999,1002.7225768879999,0.0,0.0
5220,1002.7225768879999,1002.7225768879999,0.0,0.0
5280,1002.7225768879999,1002.7225768879999,0.0,0.0
5340,1002.7225768879999,1002.7225768879999,0.0,0.0
5400,1002.7225768879999,1002.7225768879999,0.0,0.0
5460,1002.7225768879999,1002.7225768879999,0.0,0.0
5520,1002.7225768879999,1002.7225768879999,0.0,0.0
5580,1002.7225768879999,1002.7225768879999,0.0,0.0
5640,1002.7225768879999,1002.7225768879999,0.0,0.0
5700,1002.7225768879999,1002.7225768879999,0.0,0.0
5760,1002.7225768879999,1002.7225768879999,0.0,0.0
5820,1002.7225768879999,1002.7225768879999,0.0,0.0
5880,1002.7225768879999,1002.7225768879999,0.0,0.0
5940,1002.7225768879999,1002.7225768879999,0.0,0.0
6000,1002.7225768879999,1002.7225768879999,0.0,0.0
6060,1002.7225768879999,1002.7225768879999,0.0,0.0
6120,1002.7225768879999,1002.7225768879999,0.0,0.0
6180,1002.7225768879999,1002.7225768879999,0.0,0.0
6240,1002.7225768879999,1002.7225768879999,0.0,0.0
6300,1002.7225768879999,1002.7225768879999,0.0,0.0
6360,1002.7225768879999,1002.7225768879999,0.0,0.0
6420,1002.7225768879999,1002.7225768879999,0.0,0.0
6480,1002.7225768879999,1002.7225768879999,0.0,0.0
6540,1002.7225768879999,1002.7225768879999,0.0,0.0
6600,1002.7225768879999,1002.7225768879999,0.0,0.0
6660,1002.7225768879999,1002.7225768879999,0.0,0.0
6720,1002.7225768879999,1002.7225768879999,0.0,0.0
6780,1002.7225768879999,1002.7225768879999,0.0,0.0
6840,1002.7225768879999,1002.7225768879999,0.0,0.0
6900,1002.7225768879999,1002.7225768879999,0.0,0.0
6960,1002.7225768879999,1002.7225768879999,0.0,0.0
7020,1002.7225768879999,1002.7225768879999,0.0,0.0
7080,1002.7225768879999,1002.7225768879999,0.0,0.0
7140,1002.7225768879999,1002.7225768879999,0.0,0.0
7200,1002.7225768879999,1002.7225768879999,0.0,0.0
7260,1002.7225768879999,1002.7225768879999,0.0,0.0
7320,1002.7225768879999,1002.7225768879999,0.0,0.0
7380,1002.7225768879999,1002.7225768879999,0.0,0.0
7440,1002.7225768879999,1002.7225768879999,0.0,0.0
7500,1002.7225768879999,1002.7225768879999,0.0,0.0
7560,1002.7225768879999,1002.7225768879999,0.0,0.0
7620,1002.7225768879999,1002.7225768879999,0.0,0.0
7680,1002.7225768879999,1002.7225768879999,0.0,0.0
7740,1002.7225768879999,1002.7225768879999,0.0,0.0
7800,1002.7225768879999,1002.7225768879999,0.0,0.0
7860,1002.7225768879999,1002.7225768879999,0.0,0.0
7920,1002.7225768879999,1002.7225768879999,0.0,0.0
7980,1002.7225768879999,1002.7225768879999,0.0,0.0
8040,1002.7225768879999,1002.7225768879999,0.0,0.0
8100,1002.7225768879999,1002.7225768879999,0.0,0.0
8160,1002.7225768879999,1002.7225768879999,0.0,0.0
8220,1002.7225768879999,1002.7225768879999,0.0,0.0
8280,1002.7225768879999,1002.7225768879999,0.0,0.0
8340,1002.7225768879999,1002.7225768879999,0.0,0.0
8400,1002.7225768879999,1002.7225768879999,0.0,0.0
8460,1002.7225768879999,1002.7225768879999,0.0,0.0
8520,1002.7225768879999,1002.7225768879999,0.0,0.0
8580,1002.7225768879999,1002.7225768879999,0.0,0.0
8640,1002.7225768879999,1002.7225768879999,0.0,0.0
8700,1002.7225768879999,1002.7225768879999,0.0,0.0
8760,1002.7225768879999,1002.7225768879999,0.0,0.0
8820,1002.7225768879999,1002.7225768879999,0.0,0.0
8880,1002.7225768879999,1002.7225768879999,0.0,0.0
8940,1002.7225768879999,1002.7225768879999,0.0,0.0
9000,1002.7225768879999,1002.7225768879999,0.0,0.0
9060,1002.7225768879999,1002.7225768879999,0.0,0.0
9120,1002.6892296599999,1002.7225768879999,0.0,0.0
9180,1004.4526790007999,1004.6860696599999,0.0,1.9968400000000053
9240,1004.4526790007999,1004.4526790007999,0.0,0.0
9300,1004.4526790007999,1004.4526790007999,0.0,0.0
9360,1004.4526790007999,1004.4526790007999,0.0,0.0
9420,1004.4526790007999,1004.4526790007999,0.0,0.0
9480,1004.4526790007999,1004.4526790007999,0.0,0.0
9540,1004.4526790007999,1004.4526790007999,0.0,0.0
9600,1004.4526790007999,1004.4526790007999,0.0,0.0
9660,1004.4526790007999,1004.4526790007999,0.0,0.0
9720,1004.4526790007999,1004.4526790007999,0.0,0.0
9780,1004.4526790007999,1004.4526790007999,0.0,0.0
9840,1004.4526790007999,1004.4526790007999,0.0,0.0
9900,1004.4526790007999,1004.4526790007999,0.0,0.0
9960,1004.4526790007999,1004.4526790007999,0.0,0.0
10020,1004.4526790007999,1004.4526790007999,0.0,0.0
10080,1004.4526790007999,1004.4526790007999,0.0,0.0
10140,1004.4526790007999,1004.4526790007999,0.0,0.0
10200,1004.4526790007999,1004.4526790007999,0.0,0.0
10260,1004.4526790007999,1004.4526790007999,0.0,0.0
10320,1004.4526790007999,1004.4526790007999,0.0,0.0
10380,1004.4526790007999,1004.4526790007999,0.0,0.0
10440,1004.4526790007999,1004.4526790007999,0.0,0.0
10500,1004.4526790007999,1004.4526790007999,0.0,0.0
10560,1004.4526790007999,1004.4526790007999,0.0,0.0
10620,1004.4526790007999,1004.4526790007999,0.0,0.0
10680,1004.4526790007999,1004.4526790007999,0.0,0.0
10740,1004.4526790007999,1004.4526790007999,0.0,0.0
10800,1004.4526790007999,1004.4526790007999,0.0,0.0
10860,1004.4526790007999,1004.4526790007999,0.0,0.0
10920,1004.4526790007999,1004.4526790007999,0.0,0.0
10980,1004.4526790007999,1004.4526790007999,0.0,0.0
11040,1004.4526790007999,1004.4526790007999,0.0,0.0
11100,1004.4526790007999,1004.4526790007999,0.0,0.0
11160,1004.4526790007999,1004.4526790007999,0.0,0.0
11220,1004.4526790007999,1004.4526790007999,0.0,0.0
11280,1004.4526790007999,1004.4526790007999,0.0,0.0
11340,1004.4526790007999,1004.4526790007999,0.0,0.0
11400,1004.4526790007999,1004.4526790007999,0.0,0.0
11460,1004.4526790007999,1004.4526790007999,0.0,0.0
11520,1004.4526790007999,1004.4526790007999,0.0,0.0
11580,1004.4526790007999,1004.4526790007999,0.0,0.0
11640,1004.4526790007999,1004.4526790007999,0.0,0.0
11700,1004.4526790007999,1004.4526790007999,0.0,0.0
11760,1004.4526790007999,1004.4526790007999,0.0,0.0
11820,1004.4526790007999,1004.4526790007999,0.0,0.0
11880,1004.4526790007999,1004.4526790007999,0.0,0.0
11940,1004.4526790007999,1004.4526790007999,0.0,0.0
12000,1004.4526790007999,1004.4526790007999,0.0,0.0
12060,1004.4526790007999,1004.4526790007999,0.0,0.0
12120,1004.4526790007999,1004.4526790007999,0.0,0.0
12180,1004.4526790007999,1004.4526790007999,0.0,0.0
12240,1004.4526790007999,1004.4526790007999,0.0,0.0
12300,1004.4526790007999,1004.4526790007999,0.0,0.0
12360,1004.4526790007999,1004.4526790007999,0.0,0.0
12420,1004.4526790007999,1004.4526790007999,0.0,0.0
12480,1004.4526790007999,1004.4526790007999,0.0,0.0
12540,1004.4526790007999,1004.4526790007999,0.0,0.0
12600,1004.4526790007999,1004.4526790007999,0.0,0.0
12660,1004.4526790007999,1004.4526790007999,0.0,0.0
12720,1004.4526790007999,1004.4526790007999,0.0,0.0
12780,1004.4526790007999,1004.4526790007999,0.0,0.0
12840,1004.4526790007999,1004.4526790007999,0.0,0.0
12900,1004.4526790007999,1004.4526790007999,0.0,0.0
12960,1004.4526790007999,1004.4526790007999,0.0,0.0
13020,1004.4526790007999,1004.4526790007999,0.0,0.0
13080,1004.4526790007999,1004.4526790007999,0.0,0.0
13140,1004.4526790007999,1004.4526790007999,0.0,0.0
13200,1004.4526790007999,1004.4526790007999,0.0,0.0
13260,1004.4526790007999,1004.4526790007999,0.0,0.0
13320,1004.4526790007999,1004.4526790007999,0.0,0.0
13380,1004.4526790007999,1004.4526790007999,0.0,0.0
13440,1004.4526790007999,1004.4526790007999,0.0,0.0
13500,1004.4526790007999,1004.4526790007999,0.0,0.0
13560,1004.4526790007999,1004.4526790007999,0.0,0.0
13620,1004.4526790007999,1004.4526790007999,0.0,0.0
13680,1004.4526790007999,1004.4526790007999,0.0,0.0
13740,1004.4526790007999,1004.4526790007999,0.0,0.0
13800,1004.4526790007999,1004.4526790007999,0.0,0.0
13860,1004.4526790007999,1004.4526790007999,0.0,0.0
13920,1004.4526790007999,1004.4526790007999,0.0,0.0
13980,1004.4526790007999,1004.4526790007999,0.0,0.0
14040,1004.4526790007999,1004.4526790007999,0.0,0.0
14100,1004.4526790007999,1004.4526790007999,0.0,0.0
14160,1004.4526790007999,1004.4526790007999,0.0,0.0
14220,1004.4526790007999,1004.4526790007999,0.0,0.0
14280,1004.4526790007999,1004.4526790007999,0.0,0.0
14340,1004.4526790007999,1004.4526790007999,0.0,0.0
14400,1004.4526790007999,1004.4526790007999,0.0,0.0
14460,1004.4526790007999,1004.4526790007999,0.0,0.0
14520,1004.4526790007999,1004.4526790007999,0.0,0.0
14580,1004.4526790007999,1004.4526790007999,0.0,0.0
14640,1004.4526790007999,1004.4526790007999,0.0,0.0
14700,1004.4526790007999,1004.4526790007999,0.0,0.0
14760,1004.4526790007999,1004.4526790007999,0.0,0.0
14820,1004.4526790007999,1004.4526790007999,0.0,0.0
14880,1004.4526790007999,1004.4526790007999,0.0,0.0
14940,1004.4526790007999,1004.4526790007999,0.0,0.0
15000,1004.4526790007999,1004.4526790007999,0.0,0.0
15060,1004.4526790007999,1004.4526790007999,0.0,0.0
15120,1004.4526790007999,1004.4526790007999,0.0,0.0
15180,1004.4526790007999,1004.4526790007999,0.0,0.0
15240,1004.4526790007999,1004.4526790007999,0.0,0.0
15300,1004.4526790007999,1004.4526790007999,0.0,0.0
15360,1004.4526790007999,1004.4526790007999,0.0,0.0
15420,1004.4526790007999,1004.4526790007999,0.0,0.0
15480,1004.4526790007999,1004.4526790007999,0.0,0.0
15540,1004.4526790007999,1004.4526790007999,0.0,0.0
15600,1004.4526790007999,1004.4526790007999,0.0,0.0
15660,1004.4526790007999,1004.4526790007999,0.0,0.0
15720,1004.4526790007999,1004.4526790007999,0.0,0.0
15780,1004.4526790007999,1004.4526790007999,0.0,0.0
15840,1004.4526790007999,1004.4526790007999,0.0,0.0
15900,1004.4526790007999,1004.4526790007999,0.0,0.0
15960,1004.4526790007999,1004.4526790007999,0.0,0.0
16020,1004.4526790007999,1004.4526790007999,0.0,0.0
16080,1004.4526790007999,1004.4526790007999,0.0,0.0
16140,1004.4526790007999,1004.4526790007999,0.0,0.0
16200,1004.4526790007999,1004.4526790007999,0.0,0.0
16260,1004.4526790007999,1004.4526790007999,0.0,0.0
16320,1004.4526790007999,1004.4526790007999,0.0,0.0
16380,1004.4526790007999,1004.4526790007999,0.0,0.0
